Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg)
Butternaan,300,50,7,10,2,2,15,50
Cupcake,200,30,2,8,20,0.5,20,20
Donuts,250,30,3,12,10,1,20,20
French Fries,312,41,3.4,15,0.3,3.8,0,20
Garlic Bread,200,25,4,10,1,1,10,30
Grilled Cheese Sandwich,400,30,12,25,2,2,50,200
Hot Dog,290,24,10,18,4,1,30,20
Ice Cream,207,24,3.5,11,21,0.5,44,100
Lobster Roll Sandwich,450,30,20,25,3,2,80,60
Onion Rings,275,31,3,15,5,2,0,30
Red Velvet Cake,293,37.45,5.45,13.74,13.89,1.2,43,85
Strawberry Shortcake,250,35,3,12,15,1,30,50
Vada Pav,304,40.17,9.17,11.92,9.42,3.8,0,71
Waffles,220,20,13,11,5,3,30,100
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0,0,14.2
Instant coffee,23.16,3.65,0.64,0.75,3.62,0,0,20.87
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0,0,58.1
Iced tea,10.34,2.7,0.03,0.01,2.7,0,0,1.18
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,0,7.08
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,0,5.07
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,0,3.3
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,0,1.84
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,0,2.2
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,0,10.84
Coco pine cooler,32.75,5.72,0.56,1,5.52,0.26,3.4,17.81
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,0,8.13
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0,0,113.66
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,1.17,53.29
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,0,62.64
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,0,62.33
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0,0,59.92
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0,0,67.42
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,60.3,102.13
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0,2.49,45.65
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,2.6,47.78
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,23.05,113.79
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,121.63,110.13
